record_id,station_id,indexName,day1st_result_ppm,day2nd_result_ppm,day3rd_result_ppm,period_id,enhance_id
1,1,ค่าเฉลี่ย 24 ชั่วโมง,0.0078,0.0081,0.0082,2,2
2,1,ค่าเฉลี่ย 1 ชั่วโมงสูงสุด,0.0096,0.0098,0.0098,2,2
3,1,ค่าเฉลี่ย 1 ชั่วโมงต่ำสุด,0.0066,0.0066,0.0067,2,2
4,2,ค่าเฉลี่ย 24 ชั่วโมง,0.0050,0.0047,0.0049,2,2
5,2,ค่าเฉลี่ย 1 ชั่วโมงสูงสุด,0.0059,0.0057,0.0059,2,2
6,2,ค่าเฉลี่ย 1 ชั่วโมงต่ำสุด,0.0039,0.0039,0.0041,2,2
7,3,ค่าเฉลี่ย 24 ชั่วโมง,0.0085,0.0090,0.0091,2,2
8,3,ค่าเฉลี่ย 1 ชั่วโมงสูงสุด,0.0104,0.0105,0.0105,2,2
9,3,ค่าเฉลี่ย 1 ชั่วโมงต่ำสุด,0.0072,0.0072,0.0072,2,2
